arc,region,name,flow_type,method_class,method,gauge,period,record_frac,record_owner,tier1_set,notes
I_ALD004,Sacramento,Alder Creek at proposed Alder Reservoir dam site,total flow,gauged_extended_split,total flow; flags: Impairment + Flow correlation + Proportionality,USGS 11440000,10/22-09/81,0.91,donor,UF11,Split of 11440000. UF11 member.
I_CAPLS,Sacramento,Caples Lake inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11433700,10/22-09/92,1.0,arc,UF11,Covers the window. UF11 member.
I_SILVR,Sacramento,Silver Lake inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11436000,10/22-09/15,1.0,arc,UF11,Covers the window. UF11 member.
I_TRNTY,Sacramento,Trinity Lake inflow,total flow,gauged_extended,total flow (reservoir inflow); flags: Impairment + Flow correlation,none listed,none listed,0.0,,CLE,"Fn 29: watershed is in the North Coast Hydrologic Region. No gauge, period or area given here; the correlation basis is in Table 5-2. The CLE tier-1 anchor (FLOW-UNIMPAIRED TRIN)."
I_LWSTN,Sacramento,Lewiston Lake local inflow,accretion,gauged_extended,accretion (reservoir local inflow); flags: Impairment + Flow correlation,none listed,none listed,0.0,,,Fn 29 (North Coast). About 41 TAF/yr; the TNL = I_TRNTY + I_LWSTN relation is not stated in this table.
I_WKYTN,Sacramento,Whiskeytown Lake inflow,total flow,gauged_extended_split,total flow (reservoir inflow); flags: Impairment + Flow correlation + Proportionality,USGS 11372000 Clear Creek near Igo,10/40-09/15,1.0,donor,UF6,Split of 11372000 with I_CLR011. UF6 arc-list member.
I_CLR011,Sacramento,Clear Creek local inflow downstream of Whiskeytown Lake,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11372000,10/40-09/15,1.0,donor,UF6,Fn 10: accretion = downstream gauge less upstream dam releases (mass balance). UF6 arc-list member.
I_CWD018,Sacramento,Cottonwood Creek near Olinda,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11375810,09/71-09/86,0.37,arc,UF6,15-year unimpaired record; WY1950-71 by correlation. UF6 arc-list member.
I_SCW008,Sacramento,South Fork Cottonwood Creek near Olinda,total flow,reservoir_mass_balance,total flow; flags: Impairment + Proportionality,USGS 11376000,10/40-09/15,1.0,arc,UF6,Proportioned from the gauge (no correlation dot). UF6 arc-list member.
I_ELD027,Sacramento,Elder Creek inflow near Paskenta,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11379500,10/48-09/15,1.0,arc,,Unimpaired gauge covering the window.
I_THM028,Sacramento,Thomes Creek at Paskenta,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11382000,10/21-09/96,1.0,arc,,Unimpaired gauge covering the window; post-1996 by correlation.
I_BLKBT,Sacramento,Black Butte Lake local inflow,accretion,gauged_extended,accretion (reservoir local inflow); flags: Impairment + Flow correlation,none listed,none listed,0.0,,UF4,No gauge; reservoir mass balance plus correlation. UF4 (Stony) member.
I_SGRGE,Sacramento,Stony Gorge Reservoir local inflow,accretion,reservoir_mass_balance,accretion (reservoir local inflow); flags: Impairment only,none listed,none listed,0.0,,UF4,Reservoir mass balance with no extension method shown. UF4 member.
I_EPARK,Sacramento,East Park Reservoir inflow,total flow,reservoir_mass_balance,total flow (headwater reservoir); flags: Impairment only,none listed,none listed,0.0,,UF4,Reservoir mass balance with no extension method shown. UF4 member.
I_CLRLK,Sacramento,Clear Lake inflow,total flow,by_difference_accretion,total flow (lake inflow by mass balance); flags: Impairment (fn 12) only,none listed,none listed,0.0,,UF3,"Fn 12: unimpaired flow from mass balance of reservoir release, storage regulation and evaporation. About 428 TAF/yr. UF3 member."
I_BRC003,Sacramento,"Bear Creek above Holsten Chimney, tributary to Cache Creek",total flow,gauged_extended_split,total flow; flags: Flow correlation + Proportionality,USGS 11451715,10/98-09/15,0.0,,UF3,Gauge starts 1998: WY1950-84 reference wholly synthetic. UF3 member.
I_INDVL,Sacramento,Indian Valley Reservoir inflow,total flow,by_difference_accretion,total flow (reservoir inflow by mass balance); flags: Impairment (fn 12) + Flow correlation,none listed,none listed,0.0,,UF3,Fn 12 mass balance (reservoir completed 1975) plus correlation. UF3 member.
I_CCH053,Sacramento,Cache Creek accretion: Clear Lake Dam to Rumsey,accretion,gauged_extended,accretion; flags: Impairment (fn 15) + Flow correlation,none listed,none listed,0.0,,UF3,Fn 15: mass balance between upstream and downstream gauges. About 54 TAF/yr. UF3 member.
I_PTH070,Sacramento,Lake Berryessa inflow,total flow,gauged_extended,total flow (reservoir inflow); flags: Impairment + Flow correlation,none listed,none listed,0.0,,,"Listed as I_BRYSA in the source table, which is also the catchment layer's label (567.5 mi2); the CalSim3 inflow series and the crosswalk carry it as I_PTH070 (Putah Creek, about 364 TAF/yr, the UF2 set), the ID used here."
I_SJR258,San Joaquin,Little Dry Creek near Friant,total flow,gauged_extended_split,correlation+proportionality,USGS 11251500,10/41-09/56,0.2,donor,,
I_MLRTN,San Joaquin,Millerton Lake impaired inflow [2],total flow,operations_model,operations_model,USGS 11251000,10/21-present,1.0,arc,UF22,
I_SJR265,San Joaquin,Cottonwood Creek - tributary to San Joaquin River,total flow,gauged_extended,correlation,USGS 11250500,10/42-09/51,0.05,arc,,
I_COT033,San Joaquin,Cottonwood Creek - tributary to Eastside Bypass,total flow,gauged_extended_split,proportionality,,,0.0,,UF21,
I_HNSLY,San Joaquin,Hensley Lake inflow,total flow,gauged_extended,correlation+mass_balance,,,0.0,,UF21,
I_FRS046,San Joaquin,Fresno River below Hidden Dam local inflow,accretion,gauged_extended_split,proportionality,,,0.0,,UF21,
I_DBC024,San Joaquin,Dry Creek and Berenda Creek,total flow,gauged_extended_split,proportionality,,,0.0,,UF21,
I_ESTMN,San Joaquin,Eastman Lake inflow,total flow,reservoir_mass_balance,mass_balance,,,0.0,,UF20,
I_CHW031,San Joaquin,Chowchilla River below Buchanan Dam local inflow,accretion,gauged_extended_split,proportionality,,,0.0,,,
I_DED044,San Joaquin,Deadman Creek and Dutchman Creek,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_MPS038,San Joaquin,Mariposa Creek below Mariposa Reservoir,total flow,gauged_extended,correlation,USACE,10/89-present,0.0,,,
I_OWN040,San Joaquin,Owen Creek below Owens Reservoir,total flow,gauged_extended,correlation,USACE,10/89-present,0.0,,,
I_BCK040,San Joaquin,Bear Creek below Bear Reservoir,total flow,gauged_extended,correlation,USACE,10/89-present,0.0,,,
I_BUR005,San Joaquin,Burns Creek below Burns Reservoir,total flow,gauged_extended,correlation,USACE,10/89-present,0.0,,,
I_MCLRE,San Joaquin,Lake McClure inflow,total flow,reservoir_mass_balance,mass_balance,,,0.0,,UF19,
I_MCD055,San Joaquin,Merced River below Lake McClure local inflow,accretion,reservoir_mass_balance,mass_balance,,,0.0,,,
I_DCM027,San Joaquin,"Dry Creek, tributary to Merced River",total flow,gauged_extended,correlation,USGS 11271320,10/66-09/92,0.51,arc,,
I_ELENR,San Joaquin,Lake Eleanor inflow,total flow,reservoir_mass_balance,mass_balance,USGS 11278000,10/60-present,0.69,arc,UF18,
I_LLOYD,San Joaquin,Lake Lloyd/Cherry Lake inflow,total flow,reservoir_mass_balance,mass_balance,USGS 11277300,11/57-present,0.77,arc,UF18,
I_HTCHY,San Joaquin,Hetch Hetchy Reservoir inflow,total flow,reservoir_mass_balance,mass_balance,USGS 11276500,10/67-present,0.49,arc,UF18,
I_PEDRO,San Joaquin,New Don Pedro local inflow,accretion,gauged_extended,correlation,USACE,,0.0,,UF18,
I_TUO054,San Joaquin,Tuolumne River below New Don Pedro Dam,accretion,other,none,,,0.0,,,
I_DCT050,San Joaquin,"Dry Creek, tributary to Tuolumne River",total flow,gauged_extended_split,correlation+proportionality,USGS 11271320,10/66-09/92,0.51,donor,,
I_LYONS,San Joaquin,Lyons Reservoir local inflow,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11298000,10/37-present,1.0,arc,UF16,
I_NFS033,San Joaquin,North Fork Stanislaus at Diversion Dam,total flow,gauged_extended,correlation+mass_balance,USGS 11293600,10/52-present,0.91,arc,UF16,
I_SPICE,San Joaquin,Highland Creek inflow to Spicer Meadows Reservoir,total flow,gauged_extended,correlation+mass_balance,USGS 11294000,10/52-present,0.91,arc,UF16,
I_NFS009,San Joaquin,North Fork Stanislaus near Avery local inflow,accretion,by_difference_accretion,correlation+mass_balance,USGS 11294500,10/21-present,1.0,arc,UF16,
I_BVC007,San Joaquin,Beaver Creek above Diversion Dam,total flow,gauged_extended,correlation+mass_balance,USGS 11295230,02/90-present,0.0,,UF16,
I_NFS005,San Joaquin,NF Stanislaus below McKays Point Dam local inflow,accretion,by_difference_accretion,correlation+mass_balance,USGS 11294500,10/21-present,1.0,arc,UF16,
I_MIL003,San Joaquin,Mill Creek above Hunters Reservoir,total flow,gauged_extended_split,proportionality,USGS 11295340,11/06-present,0.0,,UF16,
I_ANG017,San Joaquin,Angels Creek above Diversion Dam,total flow,gauged_extended_split,proportionality,USGS 11295340,11/06-present,0.0,,UF16,
I_RLIEF,San Joaquin,Relief Reservoir inflow,total flow,gauged_extended,correlation+proportionality+mass_balance,USGS 11292000,10/38-present,1.0,arc,UF16,
I_MFS047,San Joaquin,MF Stanislaus at Kennedy local inflow,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11292000,10/38-present,1.0,arc,UF16,
I_CFS001,San Joaquin,Clark Fork inflow to Middle Stanislaus,total flow,gauged_extended,correlation,USGS 11292500,10/50-09/94,0.97,arc,UF16,
I_DONLL,San Joaquin,Donnell Lake local inflow,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11292700,03/56-present,0.82,arc,UF16,
I_MFS022,San Joaquin,MF Stanislaus at Hells Half Acre Bridge local inflow,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11292700,03/56-present,0.82,arc,UF16,
I_BEARD,San Joaquin,Beardsley Lake local inflow,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11293000,10/21-09/66,0.48,arc,UF16,
I_MFS013,San Joaquin,MF Stanislaus at Sand Bar Diversion Dam local inflow,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11293000,10/21-09/66,0.48,arc,UF16,
I_PCRST,San Joaquin,Pine Crest Reservoir inflow,total flow,gauged_extended,correlation+proportionality+mass_balance,USGS 11296500,10/38-present,1.0,arc,UF16,
I_SFS033,San Joaquin,SF Stanislaus at Strawberry local inflow,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11296500,10/38-present,1.0,arc,UF16,
I_SFS030,San Joaquin,SF Stanislaus near Strawberry at Diversion Dam,accretion,by_difference_accretion,correlation+proportionality+mass_balance,USGS 11296500,10/38-present,1.0,arc,UF16,
I_STS072,San Joaquin,New Melones local inflow,accretion,gauged_extended,correlation,CDEC NMS,,0.0,,UF16,
I_TULOC,San Joaquin,Tulloch Reservoir local inflow,accretion,gauged_extended_split,proportionality,,,0.0,,,
I_STS059,San Joaquin,Stanislaus River below Tulloch Reservoir local inflow,accretion,gauged_extended_split,proportionality,,,0.0,,,
I_LJC022,San Joaquin,Littlejohn and Rock Creek above Farmington,total flow,gauged_extended,correlation,USACE,10/48-present,1.0,arc,,
I_NHGAN,San Joaquin,New Hogan Reservoir inflow,total flow,reservoir_mass_balance,mass_balance,USACE,10/63-present,0.6,arc,UF15,
I_CLV026,San Joaquin,Calaveras River below New Hogan Dam local inflow,accretion,gauged_extended_split,correlation+proportionality,USGS 11309000,10/29-09/69,0.57,donor,,
I_SLTSP,San Joaquin,Salt Springs Reservoir inflow,total flow,gauged_extended,correlation+mass_balance,USGS 11314500,10/26-present,1.0,arc,UF14,
I_UBEAR,San Joaquin,Upper Bear Reservoir inflow,total flow,gauged_extended,correlation+mass_balance,USGS 11315900,01/88-present,0.0,,UF14,
I_COL003,San Joaquin,Cole Creek,total flow,gauged_extended,correlation,USGS 11315000,10/27-present,1.0,arc,UF14,
I_TGC003,San Joaquin,Tiger Creek above Regulation Reservoir,total flow,gauged_extended_split,proportionality,USGS 11316605,10/80-present,0.11,donor,UF14,
I_NFM010,San Joaquin,North Fork Mokelumne below Tiger Creek Reservoir,accretion,by_difference_accretion,correlation+mass_balance,USGS 11316600,10/85-09/01,0.0,,UF14,
I_MFM008,San Joaquin,Middle Fork Mokelumne River near West Point,total flow,complete_record,complete_record,USGS 11316601,10/21-present,1.0,arc,UF14,
I_SFM005,San Joaquin,South Fork Mokelumne River near West Point,total flow,gauged_extended,correlation,USGS 11318500,10/33-present,1.0,arc,UF14,
I_MOK079,San Joaquin,Mokelumne River near Mokelumne Hill [3],accretion,reservoir_mass_balance,mass_balance,USGS 11319500,10/27-present,1.0,arc,UF14,
I_PARDE,San Joaquin,Pardee Reservoir local inflow,accretion,gauged_extended_split,proportionality,,,0.0,,,
I_CMCHE,San Joaquin,Camanche Reservoir local inflow,accretion,gauged_extended_split,proportionality,USGS 11323500,10/21-present,1.0,donor,,
I_AMADR,San Joaquin,Amador Reservoir inflow,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_DSC035,San Joaquin,Dry and Sutter Creek,total flow,gauged_extended_split,correlation+proportionality,USGS 11327000,10/60-09/80,0.57,donor,,
I_JNKSN,San Joaquin,Jenkinson Lake inflow,total flow,gauged_extended,correlation,USGS 11332500,10/46-09/55,0.17,arc,UF13,
I_CMP014,San Joaquin,Camp Creek at Diversion Dam,total flow,gauged_extended,correlation,USGS 11331500,10/48-09/56,0.2,arc,UF13,
I_CMP001,San Joaquin,Camp Creek near Somerset local inflow,accretion,gauged_extended,correlation,USGS 11333000,10/54-09/04,0.86,arc,UF13,
I_CSM035,San Joaquin,Cosumnes River at Michigan Bar local inflow,accretion,complete_record,complete_record,USGS 11335000,10/21-present,1.0,arc,UF13,
I_DEE023,San Joaquin,Deer Creek,total flow,gauged_extended,correlation,USGS 11335700,10/60-09/77,0.48,arc,,
I_CAP000,San Joaquin,Capita Canyon Group,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_LPC007,San Joaquin,Little Panoche Creek,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_ORG000,San Joaquin,Ortigalita Creek,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_BANOS,San Joaquin,Los Banos Creek,total flow,gauged_extended,correlation,USGS 11262800,10/58-09/66,0.23,arc,,
I_SLUIS,San Joaquin,San Luis Reservoir inflow,total flow,gauged_extended,correlation,USGS 11263000,10/49-09/63,0.4,arc,,
I_QNT005,San Joaquin,Quinto Creek Group,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_GRZ012,San Joaquin,Garzas Creek,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_ORT014,San Joaquin,Orestimba Creek,total flow,gauged_extended,correlation,USGS 11274500,10/32-present,1.0,arc,,
I_SLO007,San Joaquin,Salado Creek Group,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_DPC008,San Joaquin,Del Puerto Creek,total flow,gauged_extended,correlation,USGS 11274630,10/65-present,0.54,arc,,
I_ING008,San Joaquin,Ingram Creek and Hospital Creek,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_CHC000,San Joaquin,Corral Hollow and Minor Creeks,total flow,gauged_extended_split,proportionality,,,0.0,,,
I_LOSVQ,San Joaquin,Los Vaqueros Reservoir inflow,total flow,gauged_extended,correlation,CCWD,,0.0,,,
I_MSH015,San Joaquin,Marsh Creek,total flow,gauged_extended_split,correlation+proportionality,USGS 11337500,04/53-09/83,0.87,donor,,
I_JBP006,San Joaquin,"James Bypass [7],[8]",total flow,other,none,USGS 11253500,10/47-present,1.0,arc,,
I_FSL012,San Joaquin,"Fresno Slough [7],[8]",total flow,other,none,,,0.0,,,
